Participant	ExperimentPhase	Category	TestType	PairType	Memory	Hemisphere	Area	ROIGroup	ROISize	Beta
sub-1035	study	face	study	AB	Forgotten	Right	Ant Hipp Head	HC	109	1.4493384587156
sub-1035	study	face	study	AB	Forgotten	Right	CA1	HC	168	0.246380833333333
sub-1035	study	face	study	AB	Forgotten	Right	Sub	HC	133	8.50160672932331
sub-1035	study	face	study	AB	Forgotten	Right	CA23DG	HC	291	1.51339059106529
sub-1035	study	face	study	AB	Forgotten	Right	Hipp Tail	HC	74	1.06893563513514
sub-1035	study	face	study	AB	Forgotten	Right	PHC	MTL	436	7.56311666055046
sub-1035	study	face	study	AB	Forgotten	Right	alERC	MTL	172	6.76554198255814
sub-1035	study	face	study	AB	Forgotten	Right	PRC	MTL	596	2.39357837751678
sub-1035	study	face	study	AB	Forgotten	Right	pmERC	MTL	115	3.91068627826087
sub-1035	study	face	study	AB	Forgotten	Left	CA1	HC	164	-6.23615947560976
sub-1035	study	face	study	AB	Forgotten	Left	Hipp Tail	HC	114	-0.517567649122807
sub-1035	study	face	study	AB	Forgotten	Left	Sub	HC	129	1.58962292248062
sub-1035	study	face	study	AB	Forgotten	Left	CA23DG	HC	263	4.44507443726236
sub-1035	study	face	study	AB	Forgotten	Left	PRC	MTL	981	4.65873357492355
sub-1035	study	face	study	AB	Forgotten	Left	alERC	MTL	179	0.989318
sub-1035	study	face	study	AB	Forgotten	Left	PHC	MTL	541	5.35975058225508
sub-1035	study	face	study	AB	Forgotten	Left	pmERC	MTL	117	7.61240052136752
sub-1035	study	face	study	AB	Forgotten	Left	Ant Hipp Head	HC	85	7.88200715294118
sub-1035	study	face	study	AB	Remembered	Right	Ant Hipp Head	HC	109	5.78823580733945
sub-1035	study	face	study	AB	Remembered	Right	CA1	HC	168	-2.99424280357143
sub-1035	study	face	study	AB	Remembered	Right	Sub	HC	133	-3.5097655037594
sub-1035	study	face	study	AB	Remembered	Right	CA23DG	HC	291	-2.13218802749141
sub-1035	study	face	study	AB	Remembered	Right	Hipp Tail	HC	74	-3.83916774324324
sub-1035	study	face	study	AB	Remembered	Right	PHC	MTL	436	1.69197252752294
sub-1035	study	face	study	AB	Remembered	Right	alERC	MTL	172	6.36650319767442
sub-1035	study	face	study	AB	Remembered	Right	PRC	MTL	596	3.72024612583893
sub-1035	study	face	study	AB	Remembered	Right	pmERC	MTL	115	7.23468586956522
sub-1035	study	face	study	AB	Remembered	Left	CA1	HC	164	-0.943638201219512
sub-1035	study	face	study	AB	Remembered	Left	Hipp Tail	HC	114	-3.50512743859649
sub-1035	study	face	study	AB	Remembered	Left	Sub	HC	129	0.567904201550388
sub-1035	study	face	study	AB	Remembered	Left	CA23DG	HC	263	1.10259096577947
sub-1035	study	face	study	AB	Remembered	Left	PRC	MTL	981	1.668930637105
sub-1035	study	face	study	AB	Remembered	Left	alERC	MTL	179	1.34440284916201
sub-1035	study	face	study	AB	Remembered	Left	PHC	MTL	541	-0.596994473197782
sub-1035	study	face	study	AB	Remembered	Left	pmERC	MTL	117	-1.29028900854701
sub-1035	study	face	study	AB	Remembered	Left	Ant Hipp Head	HC	85	0.346463682352941
sub-1035	study	face	study	BC	Forgotten	Right	Ant Hipp Head	HC	109	11.0456742844037
sub-1035	study	face	study	BC	Forgotten	Right	CA1	HC	168	-3.23897604761905
sub-1035	study	face	study	BC	Forgotten	Right	Sub	HC	133	-4.09784760150376
sub-1035	study	face	study	BC	Forgotten	Right	CA23DG	HC	291	4.41111499656357
sub-1035	study	face	study	BC	Forgotten	Right	Hipp Tail	HC	74	0.671273445945946
sub-1035	study	face	study	BC	Forgotten	Right	PHC	MTL	436	4.62672068577982
sub-1035	study	face	study	BC	Forgotten	Right	alERC	MTL	172	6.10371273837209
sub-1035	study	face	study	BC	Forgotten	Right	PRC	MTL	596	2.03016639765101
sub-1035	study	face	study	BC	Forgotten	Right	pmERC	MTL	115	7.24156165217391
sub-1035	study	face	study	BC	Forgotten	Left	CA1	HC	164	-1.64266563414634
sub-1035	study	face	study	BC	Forgotten	Left	Hipp Tail	HC	114	9.41589918421053
sub-1035	study	face	study	BC	Forgotten	Left	Sub	HC	129	-3.30560984496124
sub-1035	study	face	study	BC	Forgotten	Left	CA23DG	HC	263	-1.24132976425856
sub-1035	study	face	study	BC	Forgotten	Left	PRC	MTL	981	0.17797677166157
sub-1035	study	face	study	BC	Forgotten	Left	alERC	MTL	179	4.28974975418994
sub-1035	study	face	study	BC	Forgotten	Left	PHC	MTL	541	5.11189308687616
