Participant	ExperimentPhase	Category	TestType	PairType	Memory	Hemisphere	Area	ROIGroup	ROISize	Beta
sub-1024	study	face	study	AB	Forgotten	Right	Ant Hipp Head	HC	94	-1.49707674468085
sub-1024	study	face	study	AB	Forgotten	Right	CA1	HC	139	-0.475135014388489
sub-1024	study	face	study	AB	Forgotten	Right	Sub	HC	131	-3.8901403129771
sub-1024	study	face	study	AB	Forgotten	Right	CA23DG	HC	338	0.566493334319527
sub-1024	study	face	study	AB	Forgotten	Right	Hipp Tail	HC	57	0.117614315789474
sub-1024	study	face	study	AB	Forgotten	Right	PHC	MTL	617	3.88644315072934
sub-1024	study	face	study	AB	Forgotten	Right	alERC	MTL	216	1.64243458796296
sub-1024	study	face	study	AB	Forgotten	Right	PRC	MTL	1107	1.59703993947606
sub-1024	study	face	study	AB	Forgotten	Right	pmERC	MTL	91	0.585445835164835
sub-1024	study	face	study	AB	Forgotten	Left	CA1	HC	154	0.732068097402597
sub-1024	study	face	study	AB	Forgotten	Left	Hipp Tail	HC	39	-2.83886125641026
sub-1024	study	face	study	AB	Forgotten	Left	Sub	HC	111	-1.94338624324324
sub-1024	study	face	study	AB	Forgotten	Left	CA23DG	HC	340	2.59430253529412
sub-1024	study	face	study	AB	Forgotten	Left	PRC	MTL	1117	1.45004656401074
sub-1024	study	face	study	AB	Forgotten	Left	alERC	MTL	191	3.52793389528796
sub-1024	study	face	study	AB	Forgotten	Left	PHC	MTL	639	5.21664355555556
sub-1024	study	face	study	AB	Forgotten	Left	pmERC	MTL	90	3.56758052222222
sub-1024	study	face	study	AB	Forgotten	Left	Ant Hipp Head	HC	50	-2.41274914
sub-1024	study	face	study	AB	Remembered	Right	Ant Hipp Head	HC	94	4.01437843617021
sub-1024	study	face	study	AB	Remembered	Right	CA1	HC	139	0.528303719424461
sub-1024	study	face	study	AB	Remembered	Right	Sub	HC	131	-0.0603289923664121
sub-1024	study	face	study	AB	Remembered	Right	CA23DG	HC	338	3.57987050591716
sub-1024	study	face	study	AB	Remembered	Right	Hipp Tail	HC	57	-3.28482049122807
sub-1024	study	face	study	AB	Remembered	Right	PHC	MTL	617	6.02559066450567
sub-1024	study	face	study	AB	Remembered	Right	alERC	MTL	216	0.450858305555556
sub-1024	study	face	study	AB	Remembered	Right	PRC	MTL	1107	1.22089474706414
sub-1024	study	face	study	AB	Remembered	Right	pmERC	MTL	91	6.31094481318681
sub-1024	study	face	study	AB	Remembered	Left	CA1	HC	154	1.36067229220779
sub-1024	study	face	study	AB	Remembered	Left	Hipp Tail	HC	39	0.162229461538462
sub-1024	study	face	study	AB	Remembered	Left	Sub	HC	111	0.246851135135135
sub-1024	study	face	study	AB	Remembered	Left	CA23DG	HC	340	1.76990687352941
