Participant	ExperimentPhase	Category	TestType	PairType	Memory	Hemisphere	Area	ROIGroup	ROISize	Beta
sub-1022	study	face	study	AB	Forgotten	Right	Ant Hipp Head	HC	65	3.55363263076923
sub-1022	study	face	study	AB	Forgotten	Right	CA1	HC	108	-2.97595319444444
sub-1022	study	face	study	AB	Forgotten	Right	Sub	HC	101	-1.55931902970297
sub-1022	study	face	study	AB	Forgotten	Right	CA23DG	HC	234	-1.3811029017094
sub-1022	study	face	study	AB	Forgotten	Right	Hipp Tail	HC	74	-1.69312852702703
sub-1022	study	face	study	AB	Forgotten	Right	PHC	MTL	565	-1.83598146017699
sub-1022	study	face	study	AB	Forgotten	Right	alERC	MTL	182	0.338792752747253
sub-1022	study	face	study	AB	Forgotten	Right	PRC	MTL	758	2.03053222163588
sub-1022	study	face	study	AB	Forgotten	Right	pmERC	MTL	72	-3.05055922222222
sub-1022	study	face	study	AB	Forgotten	Left	CA1	HC	122	-0.0262520983606557
sub-1022	study	face	study	AB	Forgotten	Left	Hipp Tail	HC	103	-2.79391908737864
sub-1022	study	face	study	AB	Forgotten	Left	Sub	HC	127	-1.86432422834646
sub-1022	study	face	study	AB	Forgotten	Left	CA23DG	HC	204	1.84731458333333
sub-1022	study	face	study	AB	Forgotten	Left	PRC	MTL	785	0.859179177070064
sub-1022	study	face	study	AB	Forgotten	Left	alERC	MTL	140	1.72741233571429
sub-1022	study	face	study	AB	Forgotten	Left	PHC	MTL	588	0.0960633350340136
sub-1022	study	face	study	AB	Forgotten	Left	pmERC	MTL	86	7.55532913953488
sub-1022	study	face	study	AB	Forgotten	Left	Ant Hipp Head	HC	66	-1.07990642424242
sub-1022	study	face	study	AB	Remembered	Right	Ant Hipp Head	HC	65	0.636233830769231
sub-1022	study	face	study	AB	Remembered	Right	CA1	HC	108	-1.67697805555556
sub-1022	study	face	study	AB	Remembered	Right	Sub	HC	101	-1.43234597029703
sub-1022	study	face	study	AB	Remembered	Right	CA23DG	HC	234	-0.781190316239316
sub-1022	study	face	study	AB	Remembered	Right	Hipp Tail	HC	74	-0.652603418918919
sub-1022	study	face	study	AB	Remembered	Right	PHC	MTL	565	0.581206511504425
sub-1022	study	face	study	AB	Remembered	Right	alERC	MTL	182	-1.8863756043956
sub-1022	study	face	study	AB	Remembered	Right	PRC	MTL	758	0.908668970976253
sub-1022	study	face	study	AB	Remembered	Right	pmERC	MTL	72	-3.89794173611111
sub-1022	study	face	study	AB	Remembered	Left	CA1	HC	122	-1.58255860655738
sub-1022	study	face	study	AB	Remembered	Left	Hipp Tail	HC	103	-0.645741097087379
sub-1022	study	face	study	AB	Remembered	Left	Sub	HC	127	0.130806669291339
sub-1022	study	face	study	AB	Remembered	Left	CA23DG	HC	204	2.54204880392157
sub-1022	study	face	study	AB	Remembered	Left	PRC	MTL	785	-0.144046270063694
sub-1022	study	face	study	AB	Remembered	Left	alERC	MTL	140	-0.823827728571428
sub-1022	study	face	study	AB	Remembered	Left	PHC	MTL	588	0.599158469387755
sub-1022	study	face	study	AB	Remembered	Left	pmERC	MTL	86	2.56257077906977
sub-1022	study	face	study	AB	Remembered	Left	Ant Hipp Head	HC	66	-0.941219878787879
sub-1022	study	face	study	BC	Forgotten	Right	Ant Hipp Head	HC	65	3.49962181538462
sub-1022	study	face	study	BC	Forgotten	Right	CA1	HC	108	-0.129635268518519
sub-1022	study	face	study	BC	Forgotten	Right	Sub	HC	101	0.818736881188119
sub-1022	study	face	study	BC	Forgotten	Right	CA23DG	HC	234	0.48648397008547
sub-1022	study	face	study	BC	Forgotten	Right	Hipp Tail	HC	74	3.26666027027027
sub-1022	study	face	study	BC	Forgotten	Right	PHC	MTL	565	2.98246370973451
sub-1022	study	face	study	BC	Forgotten	Right	alERC	MTL	182	0.422478263736264
sub-1022	study	face	study	BC	Forgotten	Right	PRC	MTL	758	6.31752884432718
sub-1022	study	face	study	BC	Forgotten	Right	pmERC	MTL	72	5.11140566666667
sub-1022	study	face	study	BC	Forgotten	Left	CA1	HC	122	0.407327344262295
sub-1022	study	face	study	BC	Forgotten	Left	Hipp Tail	HC	103	2.67090566019417
sub-1022	study	face	study	BC	Forgotten	Left	Sub	HC	127	1.63248553543307
sub-1022	study	face	study	BC	Forgotten	Left	CA23DG	HC	204	7.7158547745098
sub-1022	study	face	study	BC	Forgotten	Left	PRC	MTL	785	4.76878659363057
sub-1022	study	face	study	BC	Forgotten	Left	alERC	MTL	140	0.356961521428572
sub-1022	study	face	study	BC	Forgotten	Left	PHC	MTL	588	3.69890670748299
sub-1022	study	face	study	BC	Forgotten	Left	pmERC	MTL	86	5.40479645348837
sub-1022	study	face	study	BC	Forgotten	Left	Ant Hipp Head	HC	66	2.60357156060606
sub-1022	study	face	study	BC	Remembered	Right	Ant Hipp Head	HC	65	6.86661033846154
sub-1022	study	face	study	BC	Remembered	Right	CA1	HC	108	2.95528373148148
sub-1022	study	face	study	BC	Remembered	Right	Sub	HC	101	1.53225511881188
sub-1022	study	face	study	BC	Remembered	Right	CA23DG	HC	234	4.27677185897436
sub-1022	study	face	study	BC	Remembered	Right	Hipp Tail	HC	74	3.91277639189189
sub-1022	study	face	study	BC	Remembered	Right	PHC	MTL	565	1.0857236
sub-1022	study	face	study	BC	Remembered	Right	alERC	MTL	182	0.574158917582418
sub-1022	study	face	study	BC	Remembered	Right	PRC	MTL	758	3.48402382585752
sub-1022	study	face	study	BC	Remembered	Right	pmERC	MTL	72	1.85862311111111
sub-1022	study	face	study	BC	Remembered	Left	CA1	HC	122	-0.667710163934426
