Participant	ExperimentPhase	Category	TestType	PairType	Memory	Hemisphere	Area	ROIGroup	ROISize	Beta
sub-1025	study	face	study	AB	Forgotten	Right	Ant Hipp Head	HC	58	1.9869730862069
sub-1025	study	face	study	AB	Forgotten	Right	CA1	HC	127	-0.414334645669291
sub-1025	study	face	study	AB	Forgotten	Right	Sub	HC	98	-9.03624028571429
sub-1025	study	face	study	AB	Forgotten	Right	CA23DG	HC	197	3.7949697715736
sub-1025	study	face	study	AB	Forgotten	Right	Hipp Tail	HC	102	-2.21128105882353
sub-1025	study	face	study	AB	Forgotten	Right	PHC	MTL	491	30.2229624786151
sub-1025	study	face	study	AB	Forgotten	Right	alERC	MTL	159	9.13864827672956
sub-1025	study	face	study	AB	Forgotten	Right	PRC	MTL	741	12.909704560054
sub-1025	study	face	study	AB	Forgotten	Right	pmERC	MTL	74	19.4207024189189
sub-1025	study	face	study	AB	Forgotten	Left	CA1	HC	113	-4.20965697345133
sub-1025	study	face	study	AB	Forgotten	Left	Hipp Tail	HC	105	5.61224088571429
sub-1025	study	face	study	AB	Forgotten	Left	Sub	HC	97	1.92000782474227
sub-1025	study	face	study	AB	Forgotten	Left	CA23DG	HC	177	-3.46686098305085
sub-1025	study	face	study	AB	Forgotten	Left	PRC	MTL	915	7.42929086120219
sub-1025	study	face	study	AB	Forgotten	Left	alERC	MTL	157	-0.520062541401274
sub-1025	study	face	study	AB	Forgotten	Left	PHC	MTL	551	25.6585950635209
sub-1025	study	face	study	AB	Forgotten	Left	pmERC	MTL	90	8.99846888888889
sub-1025	study	face	study	AB	Forgotten	Left	Ant Hipp Head	HC	72	-0.412389472222222
sub-1025	study	face	study	AB	Remembered	Right	Ant Hipp Head	HC	58	7.40353706896552
sub-1025	study	face	study	AB	Remembered	Right	CA1	HC	127	-0.125278535433071
sub-1025	study	face	study	AB	Remembered	Right	Sub	HC	98	-6.75641798979592
sub-1025	study	face	study	AB	Remembered	Right	CA23DG	HC	197	4.17351615228426
sub-1025	study	face	study	AB	Remembered	Right	Hipp Tail	HC	102	-2.16757461764706
sub-1025	study	face	study	AB	Remembered	Right	PHC	MTL	491	28.5353304725051
sub-1025	study	face	study	AB	Remembered	Right	alERC	MTL	159	10.2691086226415
sub-1025	study	face	study	AB	Remembered	Right	PRC	MTL	741	15.3420266099865
sub-1025	study	face	study	AB	Remembered	Right	pmERC	MTL	74	14.2116881756757
sub-1025	study	face	study	AB	Remembered	Left	CA1	HC	113	3.16478549557522
sub-1025	study	face	study	AB	Remembered	Left	Hipp Tail	HC	105	3.00279063809524
sub-1025	study	face	study	AB	Remembered	Left	Sub	HC	97	-1.32992224742268
sub-1025	study	face	study	AB	Remembered	Left	CA23DG	HC	177	-1.7806708700565
sub-1025	study	face	study	AB	Remembered	Left	PRC	MTL	915	7.00991460437158
sub-1025	study	face	study	AB	Remembered	Left	alERC	MTL	157	2.23303098089172
sub-1025	study	face	study	AB	Remembered	Left	PHC	MTL	551	26.4992110671506
sub-1025	study	face	study	AB	Remembered	Left	pmERC	MTL	90	9.38234647777778
