"Participant"	"ExperimentPhase"	"Category"	"TestType"	"PairType"	"Memory"	"Hemisphere"	"Area"	"ROIGroup"	"ROISize"	"Beta"
"sub-1010"	"study"	"face"	"study"	"AB"	"Remembered"	"Right"	"Ant Hipp Head"	"HC"	123	13.2627782926829
"sub-1010"	"study"	"face"	"study"	"AB"	"Remembered"	"Right"	"CA1"	"HC"	138	0.671362384057971
"sub-1010"	"study"	"face"	"study"	"AB"	"Remembered"	"Right"	"Sub"	"HC"	101	2.22310576237624
"sub-1010"	"study"	"face"	"study"	"AB"	"Remembered"	"Right"	"CA23DG"	"HC"	238	9.63481278571429
"sub-1010"	"study"	"face"	"study"	"AB"	"Remembered"	"Right"	"Hipp Tail"	"HC"	71	-6.31991973239437
"sub-1010"	"study"	"face"	"study"	"AB"	"Remembered"	"Right"	"PHC"	"MTL"	594	23.8510832104377
"sub-1010"	"study"	"face"	"study"	"AB"	"Remembered"	"Right"	"alERC"	"MTL"	121	3.6195787768595
"sub-1010"	"study"	"face"	"study"	"AB"	"Remembered"	"Right"	"PRC"	"MTL"	489	9.81189347239264
"sub-1010"	"study"	"face"	"study"	"AB"	"Remembered"	"Right"	"pmERC"	"MTL"	110	2.8191642
"sub-1010"	"study"	"face"	"study"	"AB"	"Remembered"	"Left"	"CA1"	"HC"	135	-1.85468421481481
"sub-1010"	"study"	"face"	"study"	"AB"	"Remembered"	"Left"	"Hipp Tail"	"HC"	79	-5.98292187341772
"sub-1010"	"study"	"face"	"study"	"AB"	"Remembered"	"Left"	"Sub"	"HC"	123	1.93990081300813
"sub-1010"	"study"	"face"	"study"	"AB"	"Remembered"	"Left"	"CA23DG"	"HC"	194	0.823865948453608
"sub-1010"	"study"	"face"	"study"	"AB"	"Remembered"	"Left"	"PRC"	"MTL"	694	3.45614264985591
"sub-1010"	"study"	"face"	"study"	"AB"	"Remembered"	"Left"	"alERC"	"MTL"	130	2.21372793846154
"sub-1010"	"study"	"face"	"study"	"AB"	"Remembered"	"Left"	"PHC"	"MTL"	593	18.5854561197302
"sub-1010"	"study"	"face"	"study"	"AB"	"Remembered"	"Left"	"pmERC"	"MTL"	115	13.7647424956522
"sub-1010"	"study"	"face"	"study"	"AB"	"Remembered"	"Left"	"Ant Hipp Head"	"HC"	89	7.98932065168539
