block	trial	phase	pairtype	category	pairnum	fix_x_pos	fix_y_pos	fix_start_time	fix_end_time	fix_dwell_time	ia_side	ia_item_category	ia_item_type
1	1	study	AB	Face	7	207.2	389	8432	8627	195	Left	Object	Unique
1	1	study	AB	Face	7	166	379.9	8817	9193	376	Left	Object	Unique
1	1	study	AB	Face	7	258.4	391.9	9216	9326	110	Left	Object	Unique
1	1	study	AB	Face	7	724.3	336	9378	9563	185	Right	Face	Linking
1	1	study	AB	Face	7	765	367.3	9585	10239	654	Right	Face	Linking
1	1	study	AB	Face	7	730.2	360.2	10247	10448	201	Right	Face	Linking
1	1	study	AB	Face	7	199.6	394.2	10499	10867	368	Left	Object	Unique
1	1	study	AB	Face	7	174.8	386.3	10876	11032	156	Left	Object	Unique
1	2	study	AB	Face	8	718.5	345.8	8095	8262	167	Right	Face	Linking
1	2	study	AB	Face	8	270.8	400.3	8317	8429	112	Left	Object	Unique
1	2	study	AB	Face	8	227.3	394.1	8596	9130	534	Left	Object	Unique
1	2	study	AB	Face	8	723.9	335.9	9177	9380	203	Right	Face	Linking
1	2	study	AB	Face	8	753	357.9	9402	9571	169	Right	Face	Linking
1	2	study	AB	Face	8	204.8	414.1	9627	9861	234	Left	Object	Unique
1	2	study	AB	Face	8	738.9	357	9918	10270	352	Right	Face	Linking
1	2	study	AB	Face	8	295.6	379.4	10318	10553	235	Left	Object	Unique
1	2	study	AB	Face	8	205.6	389.4	10574	10623	49	Left	Object	Unique
1	3	study	AB	Face	4	267.6	389.3	1992	2279	287	Left	Face	Linking
1	3	study	AB	Face	4	243.1	413.9	2291	2445	154	Left	Face	Linking
1	3	study	AB	Face	4	739.3	342.3	2501	3032	531	Right	Object	Unique
1	3	study	AB	Face	4	299.5	403.2	3080	3265	185	Left	Face	Linking
1	3	study	AB	Face	4	255.5	418.4	3288	3698	410	Left	Face	Linking
1	3	study	AB	Face	4	234.5	424	3705	4051	346	Left	Face	Linking
1	4	study	AB	Face	3	263.7	366.3	4111	4290	179	Left	Face	Linking
1	4	study	AB	Face	3	231.1	388.8	4311	5197	886	Left	Face	Linking
1	4	study	AB	Face	3	240.3	399	5204	5667	463	Left	Face	Linking
1	4	study	AB	Face	3	678.2	316.4	5720	5888	168	Right	Object	Unique
1	4	study	AB	Face	3	733.5	322.4	5908	6256	348	Right	Object	Unique
1	4	study	AB	Face	3	733	329.6	6263	6697	434	Right	Object	Unique
1	5	study	AB	Face	6	276	373.4	5926	6111	185	Left	Face	Linking
1	5	study	AB	Face	6	231.5	391.2	6132	6480	348	Left	Face	Linking
1	5	study	AB	Face	6	723.5	348.8	6723	6921	198	Right	Object	Unique
1	5	study	AB	Face	6	664	354	6941	7106	165	Right	Object	Unique
1	5	study	AB	Face	6	233.5	418	7153	7442	289	Left	Face	Linking
1	5	study	AB	Face	6	746.8	325.4	7500	7771	271	Right	Object	Unique
1	5	study	AB	Face	6	665.6	338.4	7792	7974	182	Right	Object	Unique
1	5	study	AB	Face	6	246	404.8	8021	8625	604	Left	Face	Linking
1	6	study	AB	Face	5	391.9	340.7	1864	2101	237	Left	Object	Unique
1	6	study	AB	Face	5	727.4	313.9	2144	2346	202	Right	Face	Linking
1	6	study	AB	Face	5	728.9	327.2	2362	2559	197	Right	Face	Linking
1	6	study	AB	Face	5	268.8	356.4	2610	2712	102	Left	Object	Unique
1	6	study	AB	Face	5	268.1	343.1	2876	3048	172	Left	Object	Unique
1	6	study	AB	Face	5	235.4	360.8	3057	3381	324	Left	Object	Unique
1	6	study	AB	Face	5	265.6	347.7	3391	3595	204	Left	Object	Unique
1	6	study	AB	Face	5	725.4	342.3	3649	3855	206	Right	Face	Linking
1	6	study	AB	Face	5	754.6	365.7	3874	4205	331	Right	Face	Linking
1	6	study	AB	Face	5	253.1	384.8	4409	4622	213	Left	Object	Unique
1	7	study	AB	Face	1	251.6	389.7	4092	4265	173	Left	Face	Linking
1	7	study	AB	Face	1	724.5	342.3	4319	4615	296	Right	Object	Unique
1	7	study	AB	Face	1	697.9	349	4629	4657	28	Right	Object	Unique
1	7	study	AB	Face	1	256	401.9	4704	5033	329	Left	Face	Linking
1	7	study	AB	Face	1	726.1	361.6	5082	5415	333	Right	Object	Unique
1	7	study	AB	Face	1	715.6	354.4	5425	6009	584	Right	Object	Unique
1	7	study	AB	Face	1	754.5	343.7	6021	6321	300	Right	Object	Unique
1	7	study	AB	Face	1	712.6	339.6	6338	6614	276	Right	Object	Unique
1	8	study	AB	Face	2	282.7	357.1	7978	8215	237	Left	Object	Unique
1	8	study	AB	Face	2	698.5	354.9	8258	8446	188	Right	Face	Linking
1	8	study	AB	Face	2	755.3	380.8	8456	9030	574	Right	Face	Linking
1	8	study	AB	Face	2	654	360.8	9056	9087	31	Right	Face	Linking
1	8	study	AB	Face	2	272.7	360.8	9129	9387	258	Left	Object	Unique
1	8	study	AB	Face	2	205.3	383.8	9405	9684	279	Left	Object	Unique
1	8	study	AB	Face	2	252.6	383.9	9705	9913	208	Left	Object	Unique
1	8	study	AB	Face	2	670	403.1	10216	10388	172	Right	Face	Linking
1	8	study	AB	Face	2	738.4	348.7	10409	10650	241	Right	Face	Linking
1	9	study	BC	Face	6	708.4	343.7	2063	2279	216	Right	Face	Linking
1	9	study	BC	Face	6	301.3	334	2328	2566	238	Left	Object	Unique
1	9	study	BC	Face	6	256.9	351.9	2585	3359	774	Left	Object	Unique
1	9	study	BC	Face	6	709.5	327.8	3413	3603	190	Right	Face	Linking
1	9	study	BC	Face	6	753.7	336	3624	3780	156	Right	Face	Linking
1	9	study	BC	Face	6	755.6	340.9	3795	3853	58	Right	Face	Linking
1	9	study	BC	Face	6	243.5	375.1	3901	4503	602	Left	Object	Unique
1	9	study	BC	Face	6	686.2	347.5	4558	4722	164	Right	Face	Linking
