Participant	ExperimentPhase	Category	TestType	PairType	Memory	Hemisphere	Area	ROIGroup	ROISize	Beta
sub-1017	study	face	study	AB	Forgotten	Right	Ant Hipp Head	HC	113	-2.61167761061947
sub-1017	study	face	study	AB	Forgotten	Right	CA1	HC	120	-6.54670191666667
sub-1017	study	face	study	AB	Forgotten	Right	Sub	HC	115	-6.51147922608696
sub-1017	study	face	study	AB	Forgotten	Right	CA23DG	HC	154	0.887870519480519
sub-1017	study	face	study	AB	Forgotten	Right	Hipp Tail	HC	90	-7.43676253333333
sub-1017	study	face	study	AB	Forgotten	Right	PHC	MTL	405	-0.113707479012346
sub-1017	study	face	study	AB	Forgotten	Right	alERC	MTL	160	0.21663026875
sub-1017	study	face	study	AB	Forgotten	Right	PRC	MTL	328	-0.182629661585366
sub-1017	study	face	study	AB	Forgotten	Right	pmERC	MTL	72	2.91426633333333
sub-1017	study	face	study	AB	Forgotten	Left	CA1	HC	125	-7.064806152
sub-1017	study	face	study	AB	Forgotten	Left	Hipp Tail	HC	91	-6.58922610989011
sub-1017	study	face	study	AB	Forgotten	Left	Sub	HC	98	-2.06297880612245
sub-1017	study	face	study	AB	Forgotten	Left	CA23DG	HC	170	-0.828839529411765
sub-1017	study	face	study	AB	Forgotten	Left	PRC	MTL	494	0.366759518218623
sub-1017	study	face	study	AB	Forgotten	Left	alERC	MTL	98	-4.52889925510204
sub-1017	study	face	study	AB	Forgotten	Left	PHC	MTL	438	-3.28970367579909
sub-1017	study	face	study	AB	Forgotten	Left	pmERC	MTL	81	-2.52425607407407
sub-1017	study	face	study	AB	Forgotten	Left	Ant Hipp Head	HC	80	-1.7453187625
sub-1017	study	face	study	AB	Remembered	Right	Ant Hipp Head	HC	113	4.7660277699115
sub-1017	study	face	study	AB	Remembered	Right	CA1	HC	120	-6.64288915
sub-1017	study	face	study	AB	Remembered	Right	Sub	HC	115	-1.10929810434783
sub-1017	study	face	study	AB	Remembered	Right	CA23DG	HC	154	2.68686217532468
sub-1017	study	face	study	AB	Remembered	Right	Hipp Tail	HC	90	-10.6287431888889
sub-1017	study	face	study	AB	Remembered	Right	PHC	MTL	405	-2.77735543703704
sub-1017	study	face	study	AB	Remembered	Right	alERC	MTL	160	-3.6520919875
sub-1017	study	face	study	AB	Remembered	Right	PRC	MTL	328	1.23519441768293
sub-1017	study	face	study	AB	Remembered	Right	pmERC	MTL	72	-0.453249166666666
sub-1017	study	face	study	AB	Remembered	Left	CA1	HC	125	-7.768964416
sub-1017	study	face	study	AB	Remembered	Left	Hipp Tail	HC	91	-12.5245966593407
sub-1017	study	face	study	AB	Remembered	Left	Sub	HC	98	-1.15522718367347
