Participant	ExperimentPhase	Category	TestType	PairType	Memory	Hemisphere	Area	ROIGroup	ROISize	Beta
sub-1005	study	face	study	AB	Forgotten	Right	Ant Hipp Head	HC	81	-1.50657160493827
sub-1005	study	face	study	AB	Forgotten	Right	CA1	HC	129	-1.52522410077519
sub-1005	study	face	study	AB	Forgotten	Right	Sub	HC	134	-4.80512841044776
sub-1005	study	face	study	AB	Forgotten	Right	CA23DG	HC	228	0.915290421052632
sub-1005	study	face	study	AB	Forgotten	Right	Hipp Tail	HC	103	-4.63401326213592
sub-1005	study	face	study	AB	Forgotten	Right	PHC	MTL	434	7.39018819124424
sub-1005	study	face	study	AB	Forgotten	Right	alERC	MTL	139	-1.13158862589928
sub-1005	study	face	study	AB	Forgotten	Right	PRC	MTL	426	5.30051497652582
sub-1005	study	face	study	AB	Forgotten	Right	pmERC	MTL	92	3.88456048913043
sub-1005	study	face	study	AB	Forgotten	Left	CA1	HC	135	-0.167503237037037
sub-1005	study	face	study	AB	Forgotten	Left	Hipp Tail	HC	89	-1.20757214606742
sub-1005	study	face	study	AB	Forgotten	Left	Sub	HC	162	-8.41219909259259
sub-1005	study	face	study	AB	Forgotten	Left	CA23DG	HC	230	-6.87954184782609
sub-1005	study	face	study	AB	Forgotten	Left	PRC	MTL	814	-0.86141408968059
sub-1005	study	face	study	AB	Forgotten	Left	alERC	MTL	175	-6.1094916
sub-1005	study	face	study	AB	Forgotten	Left	PHC	MTL	512	11.8448261875
sub-1005	study	face	study	AB	Forgotten	Left	pmERC	MTL	102	-6.69756547058824
sub-1005	study	face	study	AB	Forgotten	Left	Ant Hipp Head	HC	84	-6.22442075
sub-1005	study	face	study	AB	Remembered	Right	Ant Hipp Head	HC	81	5.35397495061728
sub-1005	study	face	study	AB	Remembered	Right	CA1	HC	129	3.94601815503876
sub-1005	study	face	study	AB	Remembered	Right	Sub	HC	134	5.47444702985075
sub-1005	study	face	study	AB	Remembered	Right	CA23DG	HC	228	19.8703970394737
sub-1005	study	face	study	AB	Remembered	Right	Hipp Tail	HC	103	-1.23366881553398
sub-1005	study	face	study	AB	Remembered	Right	PHC	MTL	434	11.8624862373272
sub-1005	study	face	study	AB	Remembered	Right	alERC	MTL	139	-5.85273752517986
sub-1005	study	face	study	AB	Remembered	Right	PRC	MTL	426	10.6511472230047
sub-1005	study	face	study	AB	Remembered	Right	pmERC	MTL	92	-2.76859355434783
sub-1005	study	face	study	AB	Remembered	Left	CA1	HC	135	3.05869654074074
sub-1005	study	face	study	AB	Remembered	Left	Hipp Tail	HC	89	1.8222791011236
sub-1005	study	face	study	AB	Remembered	Left	Sub	HC	162	-1.39169270987654
sub-1005	study	face	study	AB	Remembered	Left	CA23DG	HC	230	5.7748762173913
sub-1005	study	face	study	AB	Remembered	Left	PRC	MTL	814	2.5180450036855
sub-1005	study	face	study	AB	Remembered	Left	alERC	MTL	175	2.44799363428571
sub-1005	study	face	study	AB	Remembered	Left	PHC	MTL	512	12.5113626835938
sub-1005	study	face	study	AB	Remembered	Left	pmERC	MTL	102	-3.66654115686274
sub-1005	study	face	study	AB	Remembered	Left	Ant Hipp Head	HC	84	2.64514138095238
sub-1005	study	face	study	BC	Forgotten	Right	Ant Hipp Head	HC	81	-2.57393237037037
sub-1005	study	face	study	BC	Forgotten	Right	CA1	HC	129	2.33173963565891
sub-1005	study	face	study	BC	Forgotten	Right	Sub	HC	134	-2.22883535820896
sub-1005	study	face	study	BC	Forgotten	Right	CA23DG	HC	228	3.10285086842105
sub-1005	study	face	study	BC	Forgotten	Right	Hipp Tail	HC	103	-3.77676999029126
sub-1005	study	face	study	BC	Forgotten	Right	PHC	MTL	434	9.86733571198157
sub-1005	study	face	study	BC	Forgotten	Right	alERC	MTL	139	6.00758742446043
sub-1005	study	face	study	BC	Forgotten	Right	PRC	MTL	426	9.53246116666667
sub-1005	study	face	study	BC	Forgotten	Right	pmERC	MTL	92	2.69710777173913
sub-1005	study	face	study	BC	Forgotten	Left	CA1	HC	135	2.21823941481482
sub-1005	study	face	study	BC	Forgotten	Left	Hipp Tail	HC	89	2.18649339325843
sub-1005	study	face	study	BC	Forgotten	Left	Sub	HC	162	-5.89346979012346
sub-1005	study	face	study	BC	Forgotten	Left	CA23DG	HC	230	-6.19867425652174
sub-1005	study	face	study	BC	Forgotten	Left	PRC	MTL	814	3.53538647665848
sub-1005	study	face	study	BC	Forgotten	Left	alERC	MTL	175	-3.69343974285714
sub-1005	study	face	study	BC	Forgotten	Left	PHC	MTL	512	13.622609171875
sub-1005	study	face	study	BC	Forgotten	Left	pmERC	MTL	102	0.384970617647059
sub-1005	study	face	study	BC	Forgotten	Left	Ant Hipp Head	HC	84	2.96244621428571
sub-1005	study	face	study	BC	Remembered	Right	Ant Hipp Head	HC	81	2.12088762962963
sub-1005	study	face	study	BC	Remembered	Right	CA1	HC	129	0.442635891472869
sub-1005	study	face	study	BC	Remembered	Right	Sub	HC	134	4.13270671641791
sub-1005	study	face	study	BC	Remembered	Right	CA23DG	HC	228	-2.88341260087719
sub-1005	study	face	study	BC	Remembered	Right	Hipp Tail	HC	103	-7.41143070873786
sub-1005	study	face	study	BC	Remembered	Right	PHC	MTL	434	13.0168169677419
sub-1005	study	face	study	BC	Remembered	Right	alERC	MTL	139	1.23289403597122
sub-1005	study	face	study	BC	Remembered	Right	PRC	MTL	426	22.4235628755869
sub-1005	study	face	study	BC	Remembered	Right	pmERC	MTL	92	6.64614729347826
sub-1005	study	face	study	BC	Remembered	Left	CA1	HC	135	-2.06918442222222
sub-1005	study	face	study	BC	Remembered	Left	Hipp Tail	HC	89	-1.79797529213483
sub-1005	study	face	study	BC	Remembered	Left	Sub	HC	162	-3.90168766666667
sub-1005	study	face	study	BC	Remembered	Left	CA23DG	HC	230	-7.1561584
sub-1005	study	face	study	BC	Remembered	Left	PRC	MTL	814	10.0653460577396
sub-1005	study	face	study	BC	Remembered	Left	alERC	MTL	175	2.27451084
