block	trial	phase	pairtype	category	pairnum	fix_x_pos	fix_y_pos	fix_start_time	fix_end_time	fix_dwell_time	ia_side	ia_item_category	ia_item_type
1	1	study	AB	Scene	6	721.4	395.2	2246	2435	189	Right	Object	Unique
1	1	study	AB	Scene	6	263	356	2489	2719	230	Left	Scene	Linking
1	1	study	AB	Scene	6	704.1	374.9	2777	2881	104	Right	Object	Unique
1	1	study	AB	Scene	6	197.5	377.1	2936	3234	298	Left	Scene	Linking
1	1	study	AB	Scene	6	250.7	437.5	3254	3492	238	Left	Scene	Linking
1	1	study	AB	Scene	6	260.4	351	3520	3867	347	Left	Scene	Linking
1	1	study	AB	Scene	6	244	421.5	3888	4112	224	Left	Scene	Linking
1	1	study	AB	Scene	6	728.8	386.4	4167	4477	310	Right	Object	Unique
1	2	study	AB	Scene	7	226.8	346.9	1971	2108	137	Left	Object	Unique
1	2	study	AB	Scene	7	750.8	375.5	2163	2501	338	Right	Scene	Linking
1	2	study	AB	Scene	7	706.5	362.2	2520	2603	83	Right	Scene	Linking
1	2	study	AB	Scene	7	740	351	2730	3001	271	Right	Scene	Linking
1	2	study	AB	Scene	7	220.7	330.8	3059	3345	286	Left	Object	Unique
1	2	study	AB	Scene	7	308.8	375.6	3368	3717	349	Left	Object	Unique
1	2	study	AB	Scene	7	302.3	376.8	4153	4446	293	Left	Object	Unique
1	2	study	AB	Scene	7	316.1	397.9	4668	4680	12	Left	Object	Unique
1	3	study	AB	Scene	3	759.5	417.7	5914	6162	248	Right	Object	Unique
1	3	study	AB	Scene	3	199.9	365.1	6221	6534	313	Left	Scene	Linking
1	3	study	AB	Scene	3	241.6	402.7	6555	6701	146	Left	Scene	Linking
1	3	study	AB	Scene	3	202.7	339.8	6839	7103	264	Left	Scene	Linking
1	3	study	AB	Scene	3	167.1	317.6	7120	7453	333	Left	Scene	Linking
1	3	study	AB	Scene	3	758.4	385.6	7511	7848	337	Right	Object	Unique
1	3	study	AB	Scene	3	182.2	352.9	7906	8449	543	Left	Scene	Linking
1	3	study	AB	Scene	3	218.2	361.3	8460	8622	162	Left	Scene	Linking
1	3	study	AB	Scene	3	197.6	437.7	8644	8688	44	Left	Scene	Linking
1	4	study	AB	Scene	1	279.9	356.1	1982	2089	107	Left	Object	Unique
1	4	study	AB	Scene	1	752.4	386.1	2143	2522	379	Right	Scene	Linking
1	4	study	AB	Scene	1	799.3	391.2	2539	2778	239	Right	Scene	Linking
1	4	study	AB	Scene	1	722	346.1	2799	3214	415	Right	Scene	Linking
1	4	study	AB	Scene	1	693.2	368.9	3235	3408	173	Right	Scene	Linking
1	4	study	AB	Scene	1	275.7	385.4	3463	3587	124	Left	Object	Unique
1	4	study	AB	Scene	1	333.4	333.3	3732	3985	253	Left	Object	Unique
1	4	study	AB	Scene	1	764	399.8	4038	4298	260	Right	Scene	Linking
1	4	study	AB	Scene	1	286.6	427.3	4353	4727	374	Left	Object	Unique
1	5	study	AB	Scene	2	747.1	381.4	5972	6134	162	Right	Object	Unique
1	5	study	AB	Scene	2	268.3	389.8	6187	6591	404	Left	Scene	Linking
1	5	study	AB	Scene	2	738.2	410.5	6647	6875	228	Right	Object	Unique
1	5	study	AB	Scene	2	762.9	385	6887	7101	214	Right	Object	Unique
1	5	study	AB	Scene	2	247.9	373.3	7160	7415	255	Left	Scene	Linking
1	5	study	AB	Scene	2	716.6	388.9	7470	7784	314	Right	Object	Unique
1	5	study	AB	Scene	2	286.2	403.5	7839	8196	357	Left	Scene	Linking
1	5	study	AB	Scene	2	676	403.7	8241	8437	196	Right	Object	Unique
1	5	study	AB	Scene	2	298.9	396.5	8491	8687	196	Left	Scene	Linking
1	6	study	AB	Scene	4	286.2	382.7	2026	2111	85	Left	Object	Unique
1	6	study	AB	Scene	4	749.7	405.2	2163	2375	212	Right	Scene	Linking
1	6	study	AB	Scene	4	793.8	447	2395	2662	267	Right	Scene	Linking
1	6	study	AB	Scene	4	821.9	453.3	2671	2772	101	Right	Scene	Linking
1	6	study	AB	Scene	4	250.9	386.1	2831	3470	639	Left	Object	Unique
1	6	study	AB	Scene	4	618.8	379.1	3622	3817	195	Right	Scene	Linking
1	6	study	AB	Scene	4	698.6	405.5	3838	4088	250	Right	Scene	Linking
1	6	study	AB	Scene	4	266.5	386.5	4140	4453	313	Left	Object	Unique
1	7	study	AB	Scene	8	781.5	389.4	6050	6244	194	Right	Object	Unique
1	7	study	AB	Scene	8	812	395.9	6257	6508	251	Right	Object	Unique
1	7	study	AB	Scene	8	227.2	409	6569	6831	262	Left	Scene	Linking
1	7	study	AB	Scene	8	271.9	474.9	6854	7145	291	Left	Scene	Linking
1	7	study	AB	Scene	8	227.2	400.7	7177	7425	248	Left	Scene	Linking
1	7	study	AB	Scene	8	760.1	385	7472	7724	252	Right	Object	Unique
1	7	study	AB	Scene	8	799.4	403	7736	7851	115	Right	Object	Unique
1	7	study	AB	Scene	8	230.1	392.1	7912	8255	343	Left	Scene	Linking
1	7	study	AB	Scene	8	191.9	372.8	8275	8670	395	Left	Scene	Linking
1	7	study	AB	Scene	8	209.5	421.3	8689	8727	38	Left	Scene	Linking
1	8	study	AB	Scene	5	277.3	358.6	1984	2149	165	Left	Object	Unique
1	8	study	AB	Scene	5	774.7	378.8	2199	2578	379	Right	Scene	Linking
1	8	study	AB	Scene	5	281.9	367.8	2637	2956	319	Left	Object	Unique
1	8	study	AB	Scene	5	235	379.3	2979	3339	360	Left	Object	Unique
1	8	study	AB	Scene	5	753	396.7	3551	3892	341	Right	Scene	Linking
1	8	study	AB	Scene	5	283.3	357.2	3950	4124	174	Left	Object	Unique
1	8	study	AB	Scene	5	789.4	382.5	4169	4487	318	Right	Scene	Linking
