Participant	ExperimentPhase	Category	TestType	PairType	Memory	Hemisphere	Area	ROIGroup	ROISize	Beta
sub-1037	study	face	study	AB	Forgotten	Right	Ant Hipp Head	HC	102	-3.2166298627451
sub-1037	study	face	study	AB	Forgotten	Right	CA1	HC	135	1.44028672592593
sub-1037	study	face	study	AB	Forgotten	Right	Sub	HC	111	-3.93522474774775
sub-1037	study	face	study	AB	Forgotten	Right	CA23DG	HC	197	2.57740766497462
sub-1037	study	face	study	AB	Forgotten	Right	Hipp Tail	HC	68	-1.29558972058824
sub-1037	study	face	study	AB	Forgotten	Right	PHC	MTL	344	0.20593611627907
sub-1037	study	face	study	AB	Forgotten	Right	alERC	MTL	160	-4.01337630625
sub-1037	study	face	study	AB	Forgotten	Right	PRC	MTL	703	1.79866183357041
sub-1037	study	face	study	AB	Forgotten	Right	pmERC	MTL	75	-2.01586073333333
sub-1037	study	face	study	AB	Forgotten	Left	CA1	HC	120	-1.081377125
sub-1037	study	face	study	AB	Forgotten	Left	Hipp Tail	HC	47	0.813964829787234
sub-1037	study	face	study	AB	Forgotten	Left	Sub	HC	154	1.4758489025974
sub-1037	study	face	study	AB	Forgotten	Left	CA23DG	HC	194	10.7775672061856
sub-1037	study	face	study	AB	Forgotten	Left	PRC	MTL	914	4.08809532056893
sub-1037	study	face	study	AB	Forgotten	Left	alERC	MTL	149	1.57489854362416
sub-1037	study	face	study	AB	Forgotten	Left	PHC	MTL	430	4.94553934418605
sub-1037	study	face	study	AB	Forgotten	Left	pmERC	MTL	71	4.79229487323944
sub-1037	study	face	study	AB	Forgotten	Left	Ant Hipp Head	HC	62	-6.40972833870968
sub-1037	study	face	study	AB	Remembered	Right	Ant Hipp Head	HC	102	6.56730466666667
sub-1037	study	face	study	AB	Remembered	Right	CA1	HC	135	5.3316405037037
sub-1037	study	face	study	AB	Remembered	Right	Sub	HC	111	-6.80097279279279
sub-1037	study	face	study	AB	Remembered	Right	CA23DG	HC	197	2.02590316243655
sub-1037	study	face	study	AB	Remembered	Right	Hipp Tail	HC	68	1.1044545
sub-1037	study	face	study	AB	Remembered	Right	PHC	MTL	344	0.836090854651163
sub-1037	study	face	study	AB	Remembered	Right	alERC	MTL	160	-0.8577242125
sub-1037	study	face	study	AB	Remembered	Right	PRC	MTL	703	0.42914440113798
sub-1037	study	face	study	AB	Remembered	Right	pmERC	MTL	75	-1.1596606
sub-1037	study	face	study	AB	Remembered	Left	CA1	HC	120	-1.984234925
sub-1037	study	face	study	AB	Remembered	Left	Hipp Tail	HC	47	3.8710079787234
sub-1037	study	face	study	AB	Remembered	Left	Sub	HC	154	-4.74962254545455
sub-1037	study	face	study	AB	Remembered	Left	CA23DG	HC	194	8.19511409793814
sub-1037	study	face	study	AB	Remembered	Left	PRC	MTL	914	2.76978329978118
sub-1037	study	face	study	AB	Remembered	Left	alERC	MTL	149	4.22510400671141
sub-1037	study	face	study	AB	Remembered	Left	PHC	MTL	430	3.45472419767442
sub-1037	study	face	study	AB	Remembered	Left	pmERC	MTL	71	-1.35464461971831
sub-1037	study	face	study	AB	Remembered	Left	Ant Hipp Head	HC	62	-0.298641790322581
sub-1037	study	face	study	BC	Forgotten	Right	Ant Hipp Head	HC	102	-0.812444068627451
sub-1037	study	face	study	BC	Forgotten	Right	CA1	HC	135	4.5732787037037
sub-1037	study	face	study	BC	Forgotten	Right	Sub	HC	111	-6.04485718918919
sub-1037	study	face	study	BC	Forgotten	Right	CA23DG	HC	197	-5.85649240609137
sub-1037	study	face	study	BC	Forgotten	Right	Hipp Tail	HC	68	-7.00088505882353
sub-1037	study	face	study	BC	Forgotten	Right	PHC	MTL	344	-0.228171531976744
sub-1037	study	face	study	BC	Forgotten	Right	alERC	MTL	160	4.22667603125
sub-1037	study	face	study	BC	Forgotten	Right	PRC	MTL	703	-0.222258213371266
sub-1037	study	face	study	BC	Forgotten	Right	pmERC	MTL	75	2.06084448
sub-1037	study	face	study	BC	Forgotten	Left	CA1	HC	120	0.1142973
sub-1037	study	face	study	BC	Forgotten	Left	Hipp Tail	HC	47	-1.39956621276596
sub-1037	study	face	study	BC	Forgotten	Left	Sub	HC	154	-3.02169017532468
sub-1037	study	face	study	BC	Forgotten	Left	CA23DG	HC	194	-7.3584028814433
sub-1037	study	face	study	BC	Forgotten	Left	PRC	MTL	914	-0.362426134573304
