Participant	ExperimentPhase	Category	TestType	PairType	Memory	Hemisphere	Area	ROIGroup	ROISize	Beta
sub-1036	study	face	study	AB	Forgotten	Right	Ant Hipp Head	HC	95	3.72128469473684
sub-1036	study	face	study	AB	Forgotten	Right	CA1	HC	152	1.22963515131579
sub-1036	study	face	study	AB	Forgotten	Right	Sub	HC	126	5.42251661111111
sub-1036	study	face	study	AB	Forgotten	Right	CA23DG	HC	248	11.4746138467742
sub-1036	study	face	study	AB	Forgotten	Right	Hipp Tail	HC	69	2.84222801449275
sub-1036	study	face	study	AB	Forgotten	Right	PHC	MTL	394	0.625321992385787
sub-1036	study	face	study	AB	Forgotten	Right	alERC	MTL	169	8.25123047928994
sub-1036	study	face	study	AB	Forgotten	Right	PRC	MTL	338	-6.10118730473373
sub-1036	study	face	study	AB	Forgotten	Right	pmERC	MTL	65	-2.72543687692308
sub-1036	study	face	study	AB	Forgotten	Left	CA1	HC	141	-1.43470189361702
sub-1036	study	face	study	AB	Forgotten	Left	Hipp Tail	HC	72	13.5606679722222
sub-1036	study	face	study	AB	Forgotten	Left	Sub	HC	141	0.984008886524823
sub-1036	study	face	study	AB	Forgotten	Left	CA23DG	HC	229	-3.00307212663755
sub-1036	study	face	study	AB	Forgotten	Left	PRC	MTL	419	-5.01584574701671
sub-1036	study	face	study	AB	Forgotten	Left	alERC	MTL	145	-1.89627445517241
sub-1036	study	face	study	AB	Forgotten	Left	PHC	MTL	443	6.33484763431151
sub-1036	study	face	study	AB	Forgotten	Left	pmERC	MTL	66	1.52320453030303
sub-1036	study	face	study	AB	Forgotten	Left	Ant Hipp Head	HC	94	9.66956806382979
sub-1036	study	face	study	AB	Remembered	Right	Ant Hipp Head	HC	95	3.32636948421053
sub-1036	study	face	study	AB	Remembered	Right	CA1	HC	152	-0.835963486842105
sub-1036	study	face	study	AB	Remembered	Right	Sub	HC	126	-3.01824355555556
sub-1036	study	face	study	AB	Remembered	Right	CA23DG	HC	248	3.35755769354839
sub-1036	study	face	study	AB	Remembered	Right	Hipp Tail	HC	69	0.351949086956522
sub-1036	study	face	study	AB	Remembered	Right	PHC	MTL	394	9.88046567766497
sub-1036	study	face	study	AB	Remembered	Right	alERC	MTL	169	-1.75232003550296
sub-1036	study	face	study	AB	Remembered	Right	PRC	MTL	338	-0.325936967455621
sub-1036	study	face	study	AB	Remembered	Right	pmERC	MTL	65	5.98239995384615
sub-1036	study	face	study	AB	Remembered	Left	CA1	HC	141	3.47214991489362
sub-1036	study	face	study	AB	Remembered	Left	Hipp Tail	HC	72	3.79041845833333
sub-1036	study	face	study	AB	Remembered	Left	Sub	HC	141	4.26726095035461
sub-1036	study	face	study	AB	Remembered	Left	CA23DG	HC	229	6.23031480349345
sub-1036	study	face	study	AB	Remembered	Left	PRC	MTL	419	-1.73260742959427
sub-1036	study	face	study	AB	Remembered	Left	alERC	MTL	145	-0.558845848275862
sub-1036	study	face	study	AB	Remembered	Left	PHC	MTL	443	11.52234748307
sub-1036	study	face	study	AB	Remembered	Left	pmERC	MTL	66	0.465533212121212
sub-1036	study	face	study	AB	Remembered	Left	Ant Hipp Head	HC	94	3.37673472340426
sub-1036	study	face	study	BC	Forgotten	Right	Ant Hipp Head	HC	95	4.18042696842105
sub-1036	study	face	study	BC	Forgotten	Right	CA1	HC	152	1.92140964473684
sub-1036	study	face	study	BC	Forgotten	Right	Sub	HC	126	8.32735457936508
sub-1036	study	face	study	BC	Forgotten	Right	CA23DG	HC	248	8.84156907258065
sub-1036	study	face	study	BC	Forgotten	Right	Hipp Tail	HC	69	-10.9455378115942
sub-1036	study	face	study	BC	Forgotten	Right	PHC	MTL	394	-15.5039856928934
sub-1036	study	face	study	BC	Forgotten	Right	alERC	MTL	169	17.7602727810651
sub-1036	study	face	study	BC	Forgotten	Right	PRC	MTL	338	5.60738382248521
sub-1036	study	face	study	BC	Forgotten	Right	pmERC	MTL	65	-3.02412109230769
sub-1036	study	face	study	BC	Forgotten	Left	CA1	HC	141	-0.387570205673759
sub-1036	study	face	study	BC	Forgotten	Left	Hipp Tail	HC	72	6.46695430555556
sub-1036	study	face	study	BC	Forgotten	Left	Sub	HC	141	13.9612858368794
sub-1036	study	face	study	BC	Forgotten	Left	CA23DG	HC	229	14.7408446375546
sub-1036	study	face	study	BC	Forgotten	Left	PRC	MTL	419	5.88323772076372
sub-1036	study	face	study	BC	Forgotten	Left	alERC	MTL	145	-9.84762747586207
sub-1036	study	face	study	BC	Forgotten	Left	PHC	MTL	443	-21.8155797697517
sub-1036	study	face	study	BC	Forgotten	Left	pmERC	MTL	66	-9.32364001515151
sub-1036	study	face	study	BC	Forgotten	Left	Ant Hipp Head	HC	94	9.27021923404255
sub-1036	study	face	study	BC	Remembered	Right	Ant Hipp Head	HC	95	4.26530838947368
sub-1036	study	face	study	BC	Remembered	Right	CA1	HC	152	0.597893993421053
sub-1036	study	face	study	BC	Remembered	Right	Sub	HC	126	0.829164634920635
sub-1036	study	face	study	BC	Remembered	Right	CA23DG	HC	248	9.50827135483871
sub-1036	study	face	study	BC	Remembered	Right	Hipp Tail	HC	69	3.71749784057971
sub-1036	study	face	study	BC	Remembered	Right	PHC	MTL	394	6.10405666497462
sub-1036	study	face	study	BC	Remembered	Right	alERC	MTL	169	5.97390886982248
sub-1036	study	face	study	BC	Remembered	Right	PRC	MTL	338	2.35388107100592
sub-1036	study	face	study	BC	Remembered	Right	pmERC	MTL	65	5.53857006153846
sub-1036	study	face	study	BC	Remembered	Left	CA1	HC	141	1.76108371631206
sub-1036	study	face	study	BC	Remembered	Left	Hipp Tail	HC	72	3.27463126388889
sub-1036	study	face	study	BC	Remembered	Left	Sub	HC	141	2.97605553900709
sub-1036	study	face	study	BC	Remembered	Left	CA23DG	HC	229	8.10030479912664
sub-1036	study	face	study	BC	Remembered	Left	PRC	MTL	419	3.69833429116945
sub-1036	study	face	study	BC	Remembered	Left	alERC	MTL	145	1.91284733103448
sub-1036	study	face	study	BC	Remembered	Left	PHC	MTL	443	6.27125421444695
sub-1036	study	face	study	BC	Remembered	Left	pmERC	MTL	66	-2.83560934848485
sub-1036	study	face	study	BC	Remembered	Left	Ant Hipp Head	HC	94	3.3895075106383
sub-1036	test	face	dir	test	Correct	Right	Ant Hipp Head	HC	95	0.189309263157895
sub-1036	test	face	dir	test	Correct	Right	CA1	HC	152	-0.401535157894737
sub-1036	test	face	dir	test	Correct	Right	Sub	HC	126	-1.61374723015873
sub-1036	test	face	dir	test	Correct	Right	CA23DG	HC	248	-2.77466299193548
sub-1036	test	face	dir	test	Correct	Right	Hipp Tail	HC	69	-3.353361
sub-1036	test	face	dir	test	Correct	Right	PHC	MTL	394	0.3364520964467
