block	trial	phase	pairtype	category	pairnum	fix_x_pos	fix_y_pos	fix_start_time	fix_end_time	fix_dwell_time	ia_side	ia_item_category	ia_item_type
1	1	study	AB	Scene	5	634.1	396	4477	4660	183	Right	Scene	Linking
1	1	study	AB	Scene	5	747.2	376.3	4681	5022	341	Right	Scene	Linking
1	1	study	AB	Scene	5	272.4	437.9	5068	5420	352	Left	Object	Unique
1	1	study	AB	Scene	5	320.1	427.1	5432	5626	194	Left	Object	Unique
1	1	study	AB	Scene	5	773.9	396.3	5673	5905	232	Right	Scene	Linking
1	1	study	AB	Scene	5	353.9	386.4	6453	6738	285	Left	Object	Unique
1	1	study	AB	Scene	5	718.1	358.9	6780	7026	246	Right	Scene	Linking
1	2	study	AB	Scene	7	311.9	400.5	8210	8494	284	Left	Object	Unique
1	2	study	AB	Scene	7	737.4	411.8	8544	8950	406	Right	Scene	Linking
1	2	study	AB	Scene	7	297.9	431.3	8996	9389	393	Left	Object	Unique
1	2	study	AB	Scene	7	781.6	460.1	9439	10024	585	Right	Scene	Linking
1	2	study	AB	Scene	7	750.3	429.7	10043	10329	286	Right	Scene	Linking
1	2	study	AB	Scene	7	292.7	419.5	10376	10708	332	Left	Object	Unique
1	3	study	AB	Scene	1	756.1	444.1	2232	2529	297	Right	Object	Unique
1	3	study	AB	Scene	1	309.6	416.4	2577	2946	369	Left	Scene	Linking
1	3	study	AB	Scene	1	730.5	426.9	2994	3376	382	Right	Object	Unique
1	3	study	AB	Scene	1	255.6	440.9	3423	3862	439	Left	Scene	Linking
1	3	study	AB	Scene	1	766.4	428.7	3918	4144	226	Right	Object	Unique
1	3	study	AB	Scene	1	310.9	440.4	4193	4429	236	Left	Scene	Linking
1	3	study	AB	Scene	1	249.3	453.7	4446	4712	266	Left	Scene	Linking
1	4	study	AB	Scene	2	761.4	400	2256	2402	146	Right	Object	Unique
1	4	study	AB	Scene	2	287.5	401.8	2450	2995	545	Left	Scene	Linking
1	4	study	AB	Scene	2	688.5	397.3	3274	3607	333	Right	Object	Unique
1	4	study	AB	Scene	2	750.5	417.7	4051	4425	374	Right	Object	Unique
1	5	study	AB	Scene	3	735.5	351.9	2243	2579	336	Right	Object	Unique
1	5	study	AB	Scene	3	365.7	348.9	2627	2842	215	Left	Scene	Linking
1	5	study	AB	Scene	3	301	363.9	2863	3163	300	Left	Scene	Linking
1	5	study	AB	Scene	3	747.7	378.3	3213	3530	317	Right	Object	Unique
1	5	study	AB	Scene	3	299.2	415.1	3586	3946	360	Left	Scene	Linking
1	5	study	AB	Scene	3	751.8	396.2	3995	4409	414	Right	Object	Unique
1	5	study	AB	Scene	3	706.3	405.9	4424	4706	282	Right	Object	Unique
1	6	study	AB	Scene	6	788.8	409.1	4447	4868	421	Right	Scene	Linking
1	6	study	AB	Scene	6	258	424.5	4918	5269	351	Left	Object	Unique
1	6	study	AB	Scene	6	696.4	386.2	5321	5766	445	Right	Scene	Linking
1	6	study	AB	Scene	6	327.6	456.2	5805	6017	212	Left	Object	Unique
1	6	study	AB	Scene	6	783.8	439.8	6066	6544	478	Right	Scene	Linking
1	6	study	AB	Scene	6	399.1	421.7	6594	6691	97	Left	Object	Unique
1	7	study	AB	Scene	4	313.5	440.9	4091	4325	234	Left	Object	Unique
1	7	study	AB	Scene	4	764.9	437.7	4375	4703	328	Right	Scene	Linking
1	7	study	AB	Scene	4	240.8	503.8	4749	5032	283	Left	Object	Unique
1	7	study	AB	Scene	4	250.7	482.5	5042	5275	233	Left	Object	Unique
1	7	study	AB	Scene	4	776.9	427.4	5332	6246	914	Right	Scene	Linking
1	7	study	AB	Scene	4	295.6	486.7	6303	6564	261	Left	Object	Unique
1	7	study	AB	Scene	4	266	487.9	6577	6716	139	Left	Object	Unique
1	8	study	AB	Scene	8	730.8	384.4	2022	2217	195	Right	Object	Unique
1	8	study	AB	Scene	8	321.7	395.7	2262	2550	288	Left	Scene	Linking
1	8	study	AB	Scene	8	278.2	424.3	2573	2974	401	Left	Scene	Linking
1	8	study	AB	Scene	8	677.7	407.1	3031	3356	325	Right	Object	Unique
1	8	study	AB	Scene	8	751.9	397.6	3378	3611	233	Right	Object	Unique
1	8	study	AB	Scene	8	311.3	398.6	4072	4382	310	Left	Scene	Linking
1	8	study	AB	Scene	8	288.5	407	4391	4572	181	Left	Scene	Linking
1	8	study	AB	Scene	8	719.2	408.1	4623	4704	81	Right	Object	Unique
1	9	study	BC	Scene	4	301	452.2	6236	6517	281	Left	Scene	Linking
1	9	study	BC	Scene	4	729.5	401.4	6567	6859	292	Right	Object	Unique
1	9	study	BC	Scene	4	778.7	405	6874	7052	178	Right	Object	Unique
1	9	study	BC	Scene	4	330	435.8	7103	7369	266	Left	Scene	Linking
1	9	study	BC	Scene	4	292.5	446.6	7385	7551	166	Left	Scene	Linking
1	9	study	BC	Scene	4	764.9	411.6	7596	8169	573	Right	Object	Unique
1	9	study	BC	Scene	4	374.7	457.4	8221	8419	198	Left	Scene	Linking
1	9	study	BC	Scene	4	626.2	451.5	8588	8720	132	Right	Object	Unique
1	10	study	BC	Scene	7	292.1	397.3	2043	2305	262	Left	Scene	Linking
1	10	study	BC	Scene	7	264.8	427.2	2316	2516	200	Left	Scene	Linking
1	10	study	BC	Scene	7	802.2	398.3	2565	3069	504	Right	Object	Unique
1	10	study	BC	Scene	7	654.8	389.3	3093	3299	206	Right	Object	Unique
1	10	study	BC	Scene	7	311.4	438.4	3344	3663	319	Left	Scene	Linking
1	10	study	BC	Scene	7	753.1	379.6	3711	4034	323	Right	Object	Unique
1	10	study	BC	Scene	7	750.9	405.3	4244	4503	259	Right	Object	Unique
1	10	study	BC	Scene	7	322.2	483.1	4548	4714	166	Left	Scene	Linking
1	11	study	BC	Scene	8	271.2	373.9	4114	4344	230	Left	Object	Unique
1	11	study	BC	Scene	8	768.9	430.2	4397	5004	607	Right	Scene	Linking
1	11	study	BC	Scene	8	341.4	464.3	5052	5422	370	Left	Object	Unique
1	11	study	BC	Scene	8	687.8	490.3	5460	5931	471	Right	Scene	Linking
1	11	study	BC	Scene	8	296.1	406.1	6168	6717	549	Left	Object	Unique
1	12	study	BC	Scene	6	295.4	360.7	2060	2401	341	Left	Scene	Linking
1	12	study	BC	Scene	6	754.8	401.9	2450	2792	342	Right	Object	Unique
1	12	study	BC	Scene	6	789.4	399.6	2805	3045	240	Right	Object	Unique
1	12	study	BC	Scene	6	786	390.7	3052	3433	381	Right	Object	Unique
1	12	study	BC	Scene	6	382.4	453.8	4173	4471	298	Left	Scene	Linking
1	12	study	BC	Scene	6	731.1	419.2	4522	4723	201	Right	Object	Unique
1	13	study	BC	Scene	2	271.6	400.3	8104	8333	229	Left	Object	Unique
1	13	study	BC	Scene	2	745.7	385.3	8382	8935	553	Right	Scene	Linking
1	13	study	BC	Scene	2	789.6	419.9	8954	9127	173	Right	Scene	Linking
1	13	study	BC	Scene	2	287.8	429.2	9176	9483	307	Left	Object	Unique
1	13	study	BC	Scene	2	750.8	441	9829	9941	112	Right	Scene	Linking
1	13	study	BC	Scene	2	781.9	403.3	10123	10654	531	Right	Scene	Linking
1	13	study	BC	Scene	2	393	424.1	10703	10729	26	Left	Object	Unique
1	14	study	BC	Scene	5	264.1	346.6	4258	4509	251	Left	Scene	Linking
1	14	study	BC	Scene	5	740.3	373.9	4556	4852	296	Right	Object	Unique
1	14	study	BC	Scene	5	796.7	389.2	4871	5295	424	Right	Object	Unique
1	14	study	BC	Scene	5	808.9	352.3	5313	5503	190	Right	Object	Unique
1	14	study	BC	Scene	5	769.7	329.9	5518	5715	197	Right	Object	Unique
1	14	study	BC	Scene	5	293.2	411.7	5764	6442	678	Left	Scene	Linking
1	14	study	BC	Scene	5	261.5	366.1	6675	6723	48	Left	Scene	Linking
1	15	study	BC	Scene	1	279.2	383.4	2049	2373	324	Left	Object	Unique
1	15	study	BC	Scene	1	750.9	375.2	2424	2780	356	Right	Scene	Linking
1	15	study	BC	Scene	1	715.7	406.8	2795	3203	408	Right	Scene	Linking
1	15	study	BC	Scene	1	262	447.9	3257	3794	537	Left	Object	Unique
1	15	study	BC	Scene	1	669.8	430.9	3999	4484	485	Right	Scene	Linking
1	15	study	BC	Scene	1	717.5	454	4498	4717	219	Right	Scene	Linking
1	16	study	BC	Scene	3	317.3	357.7	6085	6299	214	Left	Object	Unique
1	16	study	BC	Scene	3	267	375.2	6315	6621	306	Left	Object	Unique
1	16	study	BC	Scene	3	788.9	336.7	6676	7024	348	Right	Scene	Linking
1	16	study	BC	Scene	3	257.6	414.9	7077	7361	284	Left	Object	Unique
1	16	study	BC	Scene	3	247.9	367.8	7375	7545	170	Left	Object	Unique
1	16	study	BC	Scene	3	253.3	309.7	7564	8032	468	Left	Object	Unique
1	16	study	BC	Scene	3	374.4	407.3	8058	8260	202	Left	Object	Unique
1	16	study	BC	Scene	3	280.3	429.2	8282	8579	297	Left	Object	Unique
1	16	study	BC	Scene	3	250.8	366.3	8598	8685	87	Left	Object	Unique
2	1	study	AB	Face	8	262.9	387.7	6386	6864	478	Left	Face	Linking
2	1	study	AB	Face	8	712.7	421.7	6913	7330	417	Right	Object	Unique
2	1	study	AB	Face	8	270.7	412.8	7374	8042	668	Left	Face	Linking
2	1	study	AB	Face	8	760	436.5	8097	8498	401	Right	Object	Unique
2	1	study	AB	Face	8	258.3	459.5	8549	8899	350	Left	Face	Linking
2	1	study	AB	Face	8	273.6	432.2	8908	9000	92	Left	Face	Linking
2	2	study	AB	Face	7	758.3	428	8126	8340	214	Right	Object	Unique
2	2	study	AB	Face	7	310.4	440.3	8387	8635	248	Left	Face	Linking
2	2	study	AB	Face	7	265.5	439.7	8650	8983	333	Left	Face	Linking
2	2	study	AB	Face	7	733.7	427.2	9038	9284	246	Right	Object	Unique
2	2	study	AB	Face	7	802.3	436.4	9303	9502	199	Right	Object	Unique
2	2	study	AB	Face	7	280.9	473	9553	9779	226	Left	Face	Linking
2	2	study	AB	Face	7	785.9	423.1	9822	10218	396	Right	Object	Unique
2	2	study	AB	Face	7	802.7	413.3	10227	10367	140	Right	Object	Unique
2	2	study	AB	Face	7	294.3	402.9	10524	10640	116	Left	Face	Linking
2	2	study	AB	Face	7	271.1	414.7	10650	10713	63	Left	Face	Linking
2	3	study	AB	Face	3	258	391.7	2210	2530	320	Left	Face	Linking
2	3	study	AB	Face	3	742.2	345.2	2582	2961	379	Right	Object	Unique
2	3	study	AB	Face	3	237.8	410.3	3012	3222	210	Left	Face	Linking
2	3	study	AB	Face	3	264	407.5	3229	3514	285	Left	Face	Linking
2	3	study	AB	Face	3	775.7	377.2	3565	3896	331	Right	Object	Unique
2	3	study	AB	Face	3	270.9	461.6	3948	4544	596	Left	Face	Linking
2	3	study	AB	Face	3	243.6	434.8	4556	4694	138	Left	Face	Linking
2	4	study	AB	Face	6	293.1	376.7	4155	4371	216	Left	Object	Unique
2	4	study	AB	Face	6	754.7	409.3	4421	4715	294	Right	Face	Linking
2	4	study	AB	Face	6	785.8	411	4725	5039	314	Right	Face	Linking
2	4	study	AB	Face	6	358.4	415.8	5109	5387	278	Left	Object	Unique
2	4	study	AB	Face	6	329.2	381.6	5401	5552	151	Left	Object	Unique
2	4	study	AB	Face	6	760.3	430.6	5599	5870	271	Right	Face	Linking
2	4	study	AB	Face	6	784	416.8	5880	6151	271	Right	Face	Linking
2	4	study	AB	Face	6	632.6	393.1	6561	6615	54	Right	Face	Linking
2	5	study	AB	Face	2	299.3	371.6	2057	2359	302	Left	Object	Unique
2	5	study	AB	Face	2	775.8	415.5	2407	3323	916	Right	Face	Linking
2	5	study	AB	Face	2	279.3	384.6	3376	3649	273	Left	Object	Unique
2	5	study	AB	Face	2	247.8	328.2	3666	4007	341	Left	Object	Unique
2	5	study	AB	Face	2	766.4	426.5	4062	4368	306	Right	Face	Linking
