Participant	ExperimentPhase	Category	TestType	PairType	Memory	Hemisphere	Area	ROIGroup	ROISize	Beta
sub-1029	study	face	study	AB	Forgotten	Right	Ant Hipp Head	HC	49	4.45080136734694
sub-1029	study	face	study	AB	Forgotten	Right	CA1	HC	123	-1.36620512195122
sub-1029	study	face	study	AB	Forgotten	Right	Sub	HC	98	-2.3596922244898
sub-1029	study	face	study	AB	Forgotten	Right	CA23DG	HC	173	8.06885104624278
sub-1029	study	face	study	AB	Forgotten	Right	Hipp Tail	HC	93	-2.90776229032258
sub-1029	study	face	study	AB	Forgotten	Right	PHC	MTL	439	3.51435329840547
sub-1029	study	face	study	AB	Forgotten	Right	alERC	MTL	164	2.75506658536585
sub-1029	study	face	study	AB	Forgotten	Right	PRC	MTL	356	8.90287053089888
sub-1029	study	face	study	AB	Forgotten	Right	pmERC	MTL	107	2.47884729906542
sub-1029	study	face	study	AB	Forgotten	Left	CA1	HC	95	-1.51757533684211
sub-1029	study	face	study	AB	Forgotten	Left	Hipp Tail	HC	124	-0.415347725806452
sub-1029	study	face	study	AB	Forgotten	Left	Sub	HC	107	-4.11052961682243
sub-1029	study	face	study	AB	Forgotten	Left	CA23DG	HC	176	7.78578544886364
sub-1029	study	face	study	AB	Forgotten	Left	PRC	MTL	397	6.21891080604534
sub-1029	study	face	study	AB	Forgotten	Left	alERC	MTL	125	-1.49487496
sub-1029	study	face	study	AB	Forgotten	Left	PHC	MTL	461	6.80713930585683
sub-1029	study	face	study	AB	Forgotten	Left	pmERC	MTL	91	-5.89611548351648
sub-1029	study	face	study	AB	Forgotten	Left	Ant Hipp Head	HC	64	-4.588458671875
sub-1029	study	face	study	AB	Remembered	Right	Ant Hipp Head	HC	49	3.66842310204082
sub-1029	study	face	study	AB	Remembered	Right	CA1	HC	123	-5.80161185365854
sub-1029	study	face	study	AB	Remembered	Right	Sub	HC	98	-5.87323810204082
sub-1029	study	face	study	AB	Remembered	Right	CA23DG	HC	173	7.33099180346821
sub-1029	study	face	study	AB	Remembered	Right	Hipp Tail	HC	93	-0.337656107526882
sub-1029	study	face	study	AB	Remembered	Right	PHC	MTL	439	1.39520329157175
sub-1029	study	face	study	AB	Remembered	Right	alERC	MTL	164	6.85947893902439
sub-1029	study	face	study	AB	Remembered	Right	PRC	MTL	356	9.66859911516854
sub-1029	study	face	study	AB	Remembered	Right	pmERC	MTL	107	3.51372051401869
sub-1029	study	face	study	AB	Remembered	Left	CA1	HC	95	-5.84081141052632
sub-1029	study	face	study	AB	Remembered	Left	Hipp Tail	HC	124	-7.32943185483871
sub-1029	study	face	study	AB	Remembered	Left	Sub	HC	107	-2.1151658411215
sub-1029	study	face	study	AB	Remembered	Left	CA23DG	HC	176	0.786889596590909
sub-1029	study	face	study	AB	Remembered	Left	PRC	MTL	397	5.02637908816121
sub-1029	study	face	study	AB	Remembered	Left	alERC	MTL	125	-0.569094504
sub-1029	study	face	study	AB	Remembered	Left	PHC	MTL	461	9.27185486767896
sub-1029	study	face	study	AB	Remembered	Left	pmERC	MTL	91	-0.809399340659341
sub-1029	study	face	study	AB	Remembered	Left	Ant Hipp Head	HC	64	0.92113715625
sub-1029	study	face	study	BC	Forgotten	Right	Ant Hipp Head	HC	49	3.07485475510204
sub-1029	study	face	study	BC	Forgotten	Right	CA1	HC	123	-1.36814868292683
sub-1029	study	face	study	BC	Forgotten	Right	Sub	HC	98	1.22969001020408
sub-1029	study	face	study	BC	Forgotten	Right	CA23DG	HC	173	4.63079237572254
sub-1029	study	face	study	BC	Forgotten	Right	Hipp Tail	HC	93	1.51375955913978
sub-1029	study	face	study	BC	Forgotten	Right	PHC	MTL	439	8.23079797494305
sub-1029	study	face	study	BC	Forgotten	Right	alERC	MTL	164	8.10636627439024
sub-1029	study	face	study	BC	Forgotten	Right	PRC	MTL	356	11.3971331994382
sub-1029	study	face	study	BC	Forgotten	Right	pmERC	MTL	107	-1.44515670093458
sub-1029	study	face	study	BC	Forgotten	Left	CA1	HC	95	-2.56085504210526
sub-1029	study	face	study	BC	Forgotten	Left	Hipp Tail	HC	124	2.30924631451613
sub-1029	study	face	study	BC	Forgotten	Left	Sub	HC	107	-7.77393060747664
sub-1029	study	face	study	BC	Forgotten	Left	CA23DG	HC	176	2.959599375
sub-1029	study	face	study	BC	Forgotten	Left	PRC	MTL	397	0.968116279596977
sub-1029	study	face	study	BC	Forgotten	Left	alERC	MTL	125	-0.828079376
sub-1029	study	face	study	BC	Forgotten	Left	PHC	MTL	461	11.1079575965293
sub-1029	study	face	study	BC	Forgotten	Left	pmERC	MTL	91	-0.668181747252747
sub-1029	study	face	study	BC	Forgotten	Left	Ant Hipp Head	HC	64	-2.569330359375
sub-1029	study	face	study	BC	Remembered	Right	Ant Hipp Head	HC	49	3.30019844897959
sub-1029	study	face	study	BC	Remembered	Right	CA1	HC	123	-1.29333808130081
sub-1029	study	face	study	BC	Remembered	Right	Sub	HC	98	1.76496089795918
sub-1029	study	face	study	BC	Remembered	Right	CA23DG	HC	173	5.22091389595376
sub-1029	study	face	study	BC	Remembered	Right	Hipp Tail	HC	93	-2.45913031182796
sub-1029	study	face	study	BC	Remembered	Right	PHC	MTL	439	6.7383674236902
sub-1029	study	face	study	BC	Remembered	Right	alERC	MTL	164	8.50645503658537
sub-1029	study	face	study	BC	Remembered	Right	PRC	MTL	356	10.7954364382022
sub-1029	study	face	study	BC	Remembered	Right	pmERC	MTL	107	7.29270413084112
sub-1029	study	face	study	BC	Remembered	Left	CA1	HC	95	-5.59675894736842
sub-1029	study	face	study	BC	Remembered	Left	Hipp Tail	HC	124	-2.52211481451613
sub-1029	study	face	study	BC	Remembered	Left	Sub	HC	107	-6.88204406542056
sub-1029	study	face	study	BC	Remembered	Left	CA23DG	HC	176	-0.360015522727273
sub-1029	study	face	study	BC	Remembered	Left	PRC	MTL	397	4.86143782115869
sub-1029	study	face	study	BC	Remembered	Left	alERC	MTL	125	-0.401697736
sub-1029	study	face	study	BC	Remembered	Left	PHC	MTL	461	8.0814494186551
sub-1029	study	face	study	BC	Remembered	Left	pmERC	MTL	91	-3.94376836263736
sub-1029	study	face	study	BC	Remembered	Left	Ant Hipp Head	HC	64	-3.7054529375
sub-1029	test	face	dir	test	Correct	Right	Ant Hipp Head	HC	49	7.2965932244898
sub-1029	test	face	dir	test	Correct	Right	CA1	HC	123	-0.805155
sub-1029	test	face	dir	test	Correct	Right	Sub	HC	98	-4.35559051020408
sub-1029	test	face	dir	test	Correct	Right	CA23DG	HC	173	-0.919824173410405
sub-1029	test	face	dir	test	Correct	Right	Hipp Tail	HC	93	1.03143505376344
sub-1029	test	face	dir	test	Correct	Right	PHC	MTL	439	5.66476919362187
sub-1029	test	face	dir	test	Correct	Right	alERC	MTL	164	5.60090106707317
sub-1029	test	face	dir	test	Correct	Right	PRC	MTL	356	10.8374228539326
sub-1029	test	face	dir	test	Correct	Right	pmERC	MTL	107	0.341354598130841
sub-1029	test	face	dir	test	Correct	Left	CA1	HC	95	-3.31889644210526
sub-1029	test	face	dir	test	Correct	Left	Hipp Tail	HC	124	-3.26182437903226
sub-1029	test	face	dir	test	Correct	Left	Sub	HC	107	-2.59328082242991
sub-1029	test	face	dir	test	Correct	Left	CA23DG	HC	176	-0.940985261363636
sub-1029	test	face	dir	test	Correct	Left	PRC	MTL	397	6.52757413602015
sub-1029	test	face	dir	test	Correct	Left	alERC	MTL	125	1.951414888
sub-1029	test	face	dir	test	Correct	Left	PHC	MTL	461	8.65448920173536
sub-1029	test	face	dir	test	Correct	Left	pmERC	MTL	91	-3.34339846153846
sub-1029	test	face	dir	test	Correct	Left	Ant Hipp Head	HC	64	4.59859753125
sub-1029	test	face	dir	test	Incorrect	Right	Ant Hipp Head	HC	49	10.6155585510204
sub-1029	test	face	dir	test	Incorrect	Right	CA1	HC	123	-1.06337578861789
sub-1029	test	face	dir	test	Incorrect	Right	Sub	HC	98	-0.303119520408163
sub-1029	test	face	dir	test	Incorrect	Right	CA23DG	HC	173	-2.97429934682081
sub-1029	test	face	dir	test	Incorrect	Right	Hipp Tail	HC	93	3.63171477419355
sub-1029	test	face	dir	test	Incorrect	Right	PHC	MTL	439	8.20994857175399
sub-1029	test	face	dir	test	Incorrect	Right	alERC	MTL	164	2.41484752439024
sub-1029	test	face	dir	test	Incorrect	Right	PRC	MTL	356	11.2501695280899
sub-1029	test	face	dir	test	Incorrect	Right	pmERC	MTL	107	1.24319759813084
sub-1029	test	face	dir	test	Incorrect	Left	CA1	HC	95	-4.6291212631579
sub-1029	test	face	dir	test	Incorrect	Left	Hipp Tail	HC	124	-2.08738727419355
sub-1029	test	face	dir	test	Incorrect	Left	Sub	HC	107	5.00158296261682
sub-1029	test	face	dir	test	Incorrect	Left	CA23DG	HC	176	-2.36289226704545
sub-1029	test	face	dir	test	Incorrect	Left	PRC	MTL	397	1.86015553652393
sub-1029	test	face	dir	test	Incorrect	Left	alERC	MTL	125	4.95273568
sub-1029	test	face	dir	test	Incorrect	Left	PHC	MTL	461	11.6609767765727
sub-1029	test	face	dir	test	Incorrect	Left	pmERC	MTL	91	-5.95445184615385
sub-1029	test	face	dir	test	Incorrect	Left	Ant Hipp Head	HC	64	-1.85911353125
sub-1029	test	face	indir	test	Correct	Right	Ant Hipp Head	HC	49	2.95088459183673
sub-1029	test	face	indir	test	Correct	Right	CA1	HC	123	-1.99878402439024
sub-1029	test	face	indir	test	Correct	Right	Sub	HC	98	-0.884717693877551
sub-1029	test	face	indir	test	Correct	Right	CA23DG	HC	173	0.766175901734104
sub-1029	test	face	indir	test	Correct	Right	Hipp Tail	HC	93	0.158865483870968
sub-1029	test	face	indir	test	Correct	Right	PHC	MTL	439	9.14500669476082
sub-1029	test	face	indir	test	Correct	Right	alERC	MTL	164	4.73816542073171
sub-1029	test	face	indir	test	Correct	Right	PRC	MTL	356	12.1264566179775
sub-1029	test	face	indir	test	Correct	Right	pmERC	MTL	107	7.97150237383178
sub-1029	test	face	indir	test	Correct	Left	CA1	HC	95	-3.85156671578947
sub-1029	test	face	indir	test	Correct	Left	Hipp Tail	HC	124	-0.625017185483871
sub-1029	test	face	indir	test	Correct	Left	Sub	HC	107	-2.92739542990654
sub-1029	test	face	indir	test	Correct	Left	CA23DG	HC	176	2.24618560227273
